Manufacturer,CO_Emissions,Fuel_Cost_9600_km
Vauxhall,500,556
Ford,895,550
Renault,491,565
BMW,1171,689
MG Rover Group,800,668
Aston Martin Lagonda,724,1409
Peugeot,497,731
Ford,518,584
Mercedes-Benz,100,398
Ford,100,427
Lotus,400,614
Mazda,342,633
Daewoo Cars,900,486
Honda,772,633
Audi,665,861
Mercedes-Benz,708,682
MG Rover Group,400,476
Mercedes-Benz,400,668
Volkswagen,200,391
Audi,775,634
Mitsubishi,200,760
Chrysler Jeep,487,885
Mercedes-Benz,186,770
Seat,300,750
Fiat,1600,584
Ferrari,160,1738
Mercedes-Benz,500,578
Volvo,1536,828
Renault,730,535
Volkswagen,122,394
Mercedes-Benz,300,918
Skoda,368,504
Renault,500,333
Peugeot,415,549
Daewoo Cars,900,521
Vauxhall,200,507
Hyundai,300,528
Vauxhall,184,794
Mitsubishi,400,459
Vauxhall,360,529
Nissan,500,660
Ford,275,464
Vauxhall,84,557
Fiat,568,396
Subaru,660,791
BMW,981,818
Mercedes-Benz,232,889
Saab,500,625
Renault,835,529
Volkswagen,165,399
Mercedes-Benz,400,521
Land Rover,1264,771
Ford,532,682
Mercedes-Benz,500,668
Volvo,700,730
Fiat,827,595
Vauxhall,500,465
Ford,200,507
Saab,423,550
Vauxhall,200,406
Ford,900,528
BMW,255,661
Volkswagen,156,603
MG Rover Group,483,500
Lexus,230,836
Seat,624,760
Volvo,400,620
Micro Compact Car,895,377
MG Rover Group,500,652
Volvo,400,463
Citroen,708,680
Ford,474,603
Volkswagen,300,680
Ford,100,571
Volvo,924,786
Vauxhall,200,620
Ford,400,451
Volvo,900,620
Nissan,400,427
Subaru,540,747
Hyundai,500,528
BMW,800,563
Citroen,1200,410
Volvo,672,361
Honda,957,703
Mercedes-Benz,271,770
Mercedes-Benz,100,522
Mercedes-Benz,500,556
Rover Group Limited,879,649
Audi,1000,1007
Kia,456,725
Saab,460,754
Jaguar Cars,360,829
MG Rover Group,491,515
Saab,1300,773
Ford,193,703
Peugeot,366,535
Renault,200,398
Volkswagen,700,563
Vauxhall,337,557
Volvo,400,634
Smart,800,327
Hyundai,252,584
BMW,100,571
Vauxhall,400,357
Lamborghini,430,1810
Vauxhall,300,557
Honda,700,861
Toyota,1000,514
Seat,800,668
Kia,890,851
Toyota,910,406
Audi,420,689
Audi,100,710
Saab,500,599
Mazda,300,543
BMW,450,947
Vauxhall,200,500
Skoda,100,417
Volkswagen,115,440
Vauxhall,400,438
Land Rover,300,723
Vauxhall,627,624
Skoda,100,377
Citroen,114,482
Vauxhall,200,438
Proton,670,689
Vauxhall,627,645
Jaguar Cars,49,894
Vauxhall,486,624
Honda,1347,689
Fiat,814,449
Volvo,972,760
MG Rover Group,300,714
Proton,600,465
Vauxhall,360,514
Land Rover,960,1162
Suzuki,300,493
Alfa Romeo,1200,858
Mitsubishi,1117,668
MG Rover Group,220,388
Hyundai,600,682
Audi,350,599
Porsche,404,1048
Mercedes-Benz,804,718
Chrysler Jeep,540,665
Fiat,753,440
Volvo,1200,563
Alfa Romeo,1171,731
Peugeot,300,522
Mitsubishi,300,689
Ford,900,535
Daewoo Cars,1030,522
Honda,704,668
Honda,400,501
Volvo,400,668
Vauxhall,488,992
Volvo,100,682
Mazda,531,610
Porsche,400,1091
Mercedes-Benz,200,792
BMW,382,760
Renault,409,564
Kia,300,764
Vauxhall,1800,750
Vauxhall,406,682
Seat,600,417
Volvo,205,586
Ford,55,731
Mercedes-Benz,300,701
Ford,300,556
Mercedes-Benz,200,792
Chrysler Jeep,487,885
Audi,100,406
Mitsubishi,200,661
Renault,500,549
Toyota,540,528
BMW,101,398
Chevrolet,734,909
Audi,800,764
Renault,800,563
Vauxhall,236,758
Proton,720,698
Volkswagen,400,773
MG Rover Group,179,805
Vauxhall,677,905
Isuzu,1290,958
Suzuki,563,640
Porsche,798,689
Audi,100,470
Volkswagen,583,580
Smart,300,376
Volkswagen,300,786
Volkswagen,316,399
Porsche,658,871
MG Rover Group,800,476
Saab,650,725
Mercedes-Benz,200,798
Ford,400,431
Daihatsu,713,535
Citroen,309,427
Vauxhall,272,489
Skoda,775,640
Renault,248,487
Saab,600,578
Peugeot,802,543
Peugeot,900,571
Mercedes-Benz,485,549
BMW,450,620
Volkswagen,288,610
Volkswagen,1709,897
Fiat,300,464
Chevrolet,1100,972
Mercedes-Benz,41,812
Skoda,100,377
Ford,100,319
Volvo,200,660
Toyota,2000,1135
Peugeot,503,480
Ford,526,529
Lexus,1069,805
BMW,494,625
Volkswagen,300,506
MG Rover Group,1800,563
Citroen,179,497
Vauxhall,300,536
Volkswagen,162,754
Renault,400,717
Jaguar Cars,505,913
Chrysler Jeep,774,543
Suzuki,145,497
Volkswagen,500,584
Perodua,800,473
Ford,300,431
Volkswagen,245,563
Fiat,600,485
Mitsubishi,378,501
Vauxhall,500,599
Mitsubishi,822,513
BMW,400,730
Ford,700,652
Vauxhall,800,584
Jaguar Cars,600,744
Volkswagen,283,513
Isuzu,190,843
Seat,122,394
Lexus,1069,838
MG Rover Group,509,614
Kia,996,700
Perodua,534,354
Renault,500,861
Alfa Romeo,400,843
Kia,216,612
Mercedes-Benz,446,467
Nissan,480,557
Honda,740,898
Fiat,231,414
Mitsubishi,300,398
Renault,128,710
MG Rover Group,400,476
Skoda,422,696
Saab,600,620
Mazda,612,693
Volvo,600,701
Mercedes-Benz,100,624
Ford,81,502
Fiat,453,391
Chrysler Jeep,800,731
Volkswagen,583,671
Ford,700,473
Audi,82,703
Ford,174,689
Vauxhall,400,514
Renault,200,480
Vauxhall,400,592
BMW,374,829
Ford,240,557
Toyota,50,781
Mazda,913,584
Renault,823,402
Nissan,517,424
Micro Compact Car,474,362
Vauxhall,269,641
Mitsubishi,229,689
Honda,383,514
Volvo,200,565
Volvo,800,646
Honda,820,612
Skoda,800,556
MG Rover Group,300,744
Toyota,400,675
Vauxhall,272,497
Mercedes-Benz,700,634
MG Rover Group,650,500
Mercedes-Benz,500,571
Proton,910,611
Honda,310,646
Alfa Romeo,544,478
Volkswagen,200,604
Ford,900,535
Renault,179,414
Hyundai,700,792
Hyundai,100,660
Mercedes-Benz,616,661
